Singletons40	Russia/Kirovo-Chepetsk-FMBA_EPIC-28276_S92/2020|Sep-28
Singletons41	Russia/Krasnokamensk-FMBA_EPIC-24382_S87/2020|Oct-05
Singletons42	Russia/LEN-RII-MH2053S/2020|Sep-28
Singletons43	Russia/LEN-RII-MH5616S/2020|Nov-09
Singletons44	Russia/LEN-RII-MH5624S/2020|Nov-09
Singletons45	Russia/LEN-RII-MH5740S/2020|Nov-09
Singletons46	Russia/LEN-RII-MH6117S/2020|Nov-11
Singletons47	Russia/MOS-CRIE-13352861/2020|Nov-06
Singletons48	Russia/MOS-CRIE-13380492/2020|Nov-06
Singletons49	Russia/MOS-CRIE-13652759/2020|Nov-09
Singletons50	Russia/MOS-CRIE-13668879/2020|Nov-09
Singletons51	Russia/MOS-CRIE-13672647/2020|Nov-09
Singletons52	Russia/MOS-CRIE-13675465/2020|Nov-09
Singletons53	Russia/MOS-CRIE-13678038/2020|Nov-09
Singletons54	Russia/MOS-CRIE-13678675/2020|Nov-09
Singletons55	Russia/MOS-CRIE-13679342/2020|Nov-09
Singletons56	Russia/MOS-CRIE7157442/2020|Aug-24
Singletons57	Russia/MOS-RARI-3709/2020|Mar-20
Singletons58	Russia/MOS-RARI-940/2020|Mar-16
Singletons59	Russia/MOS-RII-MH3406S/2020|Oct-07
Singletons60	Russia/MOW-RII-MH1976S/2020|May-28
Singletons61	Russia/MOW-RII-MH1979S/2020|May-28
Singletons62	Russia/MOW-RII-MH1980S/2020|May-29
Singletons63	Russia/MOW-RII-MH1983S/2020|Jun-01
Singletons64	Russia/MOW-RII-MH1997S/2020|Jun-10
Singletons65	Russia/MOW-RII-MH255S/2020|Jun-18
Singletons66	Russia/MOW-RII-MH2870S/2020|Sep-22
Singletons67	Russia/MOW-RII-MH2881S/2020|Sep-25
Singletons68	Russia/MOW-RII-MH2903S/2020|Sep-21
Singletons69	Russia/MOW-RII-MH3353S/2020|Oct-07
Singletons70	Russia/MOW-RII-MH3370S/2020|Oct-07
Singletons71	Russia/MOW-RII-MH4070S/2020|Jun-09
Singletons72	Russia/MOW-RII-MH4105S/2020|May-12
Singletons73	Russia/MUR-RII-MH2062S/2020|Sep-21
Singletons74	Russia/MUR-RII-MH6181S/2020|Nov-12
Singletons75	Russia/Moscow-35I/2020|Apr-02
Singletons76	Russia/Moscow-FMBA_1019_S40/2020|2020
Singletons77	Russia/Moscow-FMBA_1026_merged/2020|2020
Singletons78	Russia/Moscow-FMBA_1036_merged/2020|2020
Singletons79	Russia/Moscow-FMBA_1062_S18/2020|2020
Singletons80	Russia/Moscow-FMBA_1067_S68/2020|2020
Singletons81	Russia/Moscow-FMBA_1112_S1/2020|2020
Singletons82	Russia/Moscow-FMBA_1113_S6/2020|2020
Singletons83	Russia/Moscow-FMBA_1115_S10/2020|2020
Singletons84	Russia/Moscow-FMBA_1116_S15/2020|2020
Singletons85	Russia/Moscow-FMBA_1137_S21/2020|2020
Singletons86	Russia/Moscow-FMBA_1146_S12/2020|2020
Singletons87	Russia/Moscow-FMBA_1152_merged/2020|2020
Singletons88	Russia/Moscow-FMBA_1160_S17/2020|2020
Singletons89	Russia/Moscow-FMBA_1190_S11/2020|2020
Singletons90	Russia/Moscow-FMBA_1191_merged/2020|2020
Singletons91	Russia/Moscow-FMBA_27-Cov/2020|Apr-05
Singletons92	Russia/Moscow-FMBA_30-Cov/2020|Apr-05
Singletons93	Russia/Moscow-FMBA_CK-220_S51/2020|Sep-29
Singletons94	Russia/Moscow-FMBA_CK-222_S57/2020|Sep-30
Singletons95	Russia/Moscow-FMBA_CK-51_S117/2020|Sep-21
Singletons96	Russia/Moscow-FMBA_CVD-171_S16/2020|May-27
Singletons97	Russia/Moscow-FMBA_CVD-277_S2/2020|Jun-04
Singletons98	Russia/Moscow-FMBA_CVD-481_S18/2020|Jun-25
Singletons99	Russia/Moscow-FMBA_CVD-59_S13/2020|Jun-23
Singletons100	Russia/Moscow-FMBA_CVD-74_S9/2020|May-13
Singletons101	Russia/Moscow-FMBA_EPIC-28378_S159/2020|Oct-07
Singletons102	Russia/Moscow-FMBA_KOM-0018_S74/2020|Aug-29
Singletons103	Russia/Moscow-FMBA_KOM-0026_S50/2020|Aug-28
Singletons104	Russia/Moscow-FMBA_KOM-0040_S54/2020|Aug-31
Singletons105	Russia/Moscow-FMBA_KOM-0077_S39/2020|Sep-04
Singletons106	Russia/Moscow-FMBA_KOM-0086_S80/2020|Sep-04
Singletons107	Russia/Moscow-FMBA_KOM-0092_S11/2020|Sep-05
