NODE_0001240;Russia/Saint-Petersburg-FMBA_113_S71/2020|Aug-15
NODE_0001240;Russia/Saint-Petersburg-FMBA_160_S69/2020|Aug-18
NODE_0001357;Russia/KK-RII-MH9348S/2020|Oct-10
NODE_0001357;Russia/PRI-RII-MH747S/2020|Aug-07
NODE_0001638;Russia/MOS-CRIE-13642264/2020|Nov-09
NODE_0001638;Russia/Moscow-FMBA_KOM-328_S97/2020|Sep-24
NODE_0001638;Russia/Moscow-FMBA_KOM-0123_S76/2020|Sep-08
NODE_0001638;Russia/Moscow-FMBA_KOM-0294_S18/2020|Sep-21
NODE_0001732;Russia/StPetersburg-RII5643S/2020|Apr-14
NODE_0001732;Russia/StPetersburg-RII5644S/2020|Apr-14
NODE_0001732;Russia/StPetersburg-RII8388S/2020|Apr-22
NODE_0001736;Russia/StPetersburg-RII4723S/2020|Apr-07
NODE_0001736;Russia/StPetersburg-RII4781S/2020|Apr-07
NODE_0001736;Russia/StPetersburg-RII4724S/2020|Apr-07
NODE_0001736;Russia/StPetersburg-RII4726S/2020|Apr-07
NODE_0001736;Russia/SPE-RII-20404V/2020|Jun-04
NODE_0001736;Russia/StPetersburg-RII4706S/2020|Apr-07
NODE_0001736;Russia/SPE-RII-8542V/2020|Apr-22
NODE_0001736;Russia/StPetersburg-RII4728S/2020|Apr-07
NODE_0001736;Russia/StPetersburg-RII5634S/2020|Apr-14
NODE_0001736;Russia/StPetersburg-RII4980S/2020|Apr-10
NODE_0001736;Russia/StPetersburg-RII5635S/2020|Apr-14
NODE_0001736;Russia/StPetersburg-RII5633S/2020|Apr-14
NODE_0001736;Russia/StPetersburg-RII5654S/2020|Apr-14
NODE_0001736;Russia/StPetersburg-RII4983S/2020|Apr-10
NODE_0001736;Russia/SPE-RII-8532V/2020|Apr-22
NODE_0001736;Russia/StPetersburg-RII4972S/2020|Apr-10
NODE_0001899;Russia/MOS-RII-MH9271S/2020|Oct-14
NODE_0001899;Russia/Moscow-FMBA_KOM-456_S95/2020|Oct-04
NODE_0001899;Russia/Moscow-FMBA_KOM-316_S73/2020|Sep-24
NODE_0001899;Russia/Moscow-FMBA_KOM-358_S80/2020|Sep-28
NODE_0002054;Russia/Moscow-FMBA_KOM-0008_S73/2020|Aug-29
NODE_0002054;Russia/Moscow-FMBA_SK-212_S123/2020|Sep-25
NODE_0002065;Russia/SVE-RII-MH1715S/2020|Sep-17
NODE_0002065;Russia/SVE-RII-MH1724S/2020|Sep-18
NODE_0002067;Russia/SVE-RII-MH2025S/2020|Sep-20
NODE_0002067;Russia/KDA-RII-MH2769S/2020|Sep-23
NODE_0002067;Russia/KHM-RII-MH1914S/2020|Sep-11
NODE_0002067;Russia/SVE-RII-MH1936S/2020|Sep-19
NODE_0002067;Russia/CE-RII-MH2636S/2020|Sep-11
NODE_0002067;Russia/CE-RII-MH2728S/2020|Sep-11
NODE_0002067;Russia/KDA-RII-MH2772S/2020|Sep-17
NODE_0002067;Russia/OMS-ORINFI-5350S/2020|Jun-07
NODE_0002126;Russia/StPetersburg-RII11149S/2020|Apr-30
NODE_0002126;Russia/StPetersburg-RII11149V/2020|Apr-30
NODE_0002126;Russia/Saint-Petersburg-FMBA_597_S82/2020|Aug-11
NODE_0002126;Russia/SPE-RII-35178S/2020|Sep-24
NODE_0002126;Russia/SPE-RII-35144S/2020|Sep-24
NODE_0002126;Russia/SPE-RII-35177S/2020|Sep-24
NODE_0002126;Russia/MOW-RII-MH2890S/2020|Sep-22
NODE_0002126;Russia/SPE-RII-MH945S/2020|Sep-06
NODE_0002126;Russia/Saint-Petersburg-FMBA_102_S33/2020|Aug-14
NODE_0002126;Russia/Saint-Petersburg-FMBA_236_merged/2020|Aug-22
NODE_0002126;Russia/Saint-Petersburg-FMBA_886_S61/2020|2020
NODE_0002187;Russia/SPE-RII-22311V/2020|Jun-08
NODE_0002187;Russia/Saint-Petersburg-FMBA_162_S38/2020|Aug-18
NODE_0002189;Russia/StPetersburg-RII15518S/2020|May-15
NODE_0002189;Russia/StPetersburg-RII15673S/2020|May-15
NODE_0002189;Russia/SPE-RII-15320V/2020|May-14
NODE_0002189;Russia/StPetersburg-RII15675S/2020|May-15
NODE_0002262;Russia/LEN-RII-MH3119S/2020|Oct-01
NODE_0002262;Russia/TYU-RII-MH3116S/2020|Oct-03
NODE_0002262;Russia/Moscow-FMBA_CK-49_S114/2020|Sep-14
NODE_0002266;Russia/CRIE5021376/2020|Jul-16
NODE_0002266;Russia/CRIE5031464/2020|Jul-16
NODE_0002266;Russia/Perm-FMBA_EPIC-25215_S50/2020|Sep-24
NODE_0002285;Russia/SVE-RII-MH3110S/2020|Oct-03
NODE_0002285;Russia/AST-RII-MH4159S/2020|Aug-05
NODE_0002285;Russia/AST-RII-MH4569S/2020|Sep-16
NODE_0002378;Russia/Moscow-FMBA_KOM-942_S43/2020|Nov-23
NODE_0002378;Russia/SVE-RII-MH1436S/2020|Sep-12
NODE_0002378;Russia/Moscow-FMBA_KOM-457_S62/2020|Oct-04
NODE_0002472;Russia/Saint-Petersburg-FMBA_Spb-2546_S28/2020|Aug-25
NODE_0002472;Russia/Saint-Petersburg-FMBA_Spb-2552_S12/2020|Aug-26
NODE_0002570;Russia/Moscow-FMBA_SK-893_S123/2020|2020
NODE_0002570;Russia/Moscow-FMBA_SK-949_S92/2020|2020
NODE_0002570;Russia/MOW-RII-MH9283S/2020|Oct-14
NODE_0002570;Russia/Moscow-FMBA_KOM-630_S34/2020|Oct-24
NODE_0002570;Russia/Moscow-FMBA_CK-293_S48/2020|Oct-07
NODE_0002570;Russia/Moscow-FMBA_CK-296_S52/2020|Oct-07
NODE_0002570;Russia/Moscow-FMBA_SK-203_S168/2020|2020
NODE_0002570;Russia/Moscow-FMBA_SK-1101_S30/2020|Oct-19
NODE_0002570;Russia/Moscow-FMBA_SK-204_S97/2020|2020
NODE_0002570;Russia/Moscow-FMBA_SK-641_S125/2020|Nov-02
NODE_0002570;Russia/Moscow-FMBA_KOM-897_S37/2020|Nov-16
NODE_0002570;Russia/Moscow-FMBA_SK-246_S113/2020|Oct-04
NODE_0002570;Russia/Moscow-FMBA_SK-281_S145/2020|Oct-07
NODE_0002570;Russia/Moscow-FMBA_KOM-155_S14/2020|Sep-11
NODE_0002570;Russia/Moscow-FMBA_KOM-431_S46/2020|Oct-02
NODE_0002570;Russia/Moscow-FMBA_KOM-154_S16/2020|Sep-10
NODE_0002570;Russia/Moscow-FMBA_KOM-175_S30/2020|Sep-12
NODE_0002570;Russia/Moscow-FMBA_KOM-156_S33/2020|Sep-11
NODE_0002570;Russia/Moscow-FMBA_KOM-343_S48/2020|Sep-28
NODE_0002570;Russia/Moscow-FMBA_KOM-301_S61/2020|Sep-22
NODE_0002570;Russia/_-FMBA_EPIC-23036_S99/2020|2020
NODE_0002570;Russia/Moscow-FMBA_KOM-0069_S62/2020|Sep-02
NODE_0004014;Russia/Krasnokamensk-FMBA_EPIC-24453_S89/2020|Oct-07
NODE_0004014;Russia/Moscow-FMBA_SK-642_S104/2020|2020
NODE_0004027;Russia/ORE-RII-MH2814S/2020|Sep-21
NODE_0004027;Russia/Saint-Petersburg-FMBA_Spb-2487_S131/2020|Aug-29
NODE_0004027;Russia/Moscow-FMBA_KOM-449_S72/2020|Oct-04
NODE_0004027;Russia/Moscow-FMBA_SK-241_S138/2020|2020
NODE_0004036;Russia/OMS-ORINFI-8436S/2020|Jul-22
NODE_0004036;Russia/OMS-ORINFI-8942S/2020|Jul-23
NODE_0004039;Russia/AST-RII-MH4160S/2020|Aug-05
NODE_0004039;Russia/SVE-RII-MH2962S/2020|Oct-01
NODE_0004040;Russia/SPE-RII-MH1007S/2020|Sep-04
