NODE_0002072	No Russia on stem
NODE_0004542	No Russia on stem
NODE_0010232	No Russia on stem
NODE_0012245	No Russia on stem
NODE_0012298	No Russia on stem
NODE_0013741	2020-03-20
NODE_0015439	No Russia on stem
NODE_0015447	No Russia on stem
NODE_0016998	No Russia on stem
NODE_0017022	2020-03-25
NODE_0018083	2020-03-18NODE_0000194	No Russia on stem
NODE_0000436	2020-03-13
NODE_0000475	2020-03-13
NODE_0000482	No Russia on stem
NODE_0000527	No Russia on stem
NODE_0001075	2020-03-13
NODE_0001174	No Russia on stem
NODE_0001201	2020-05-15
NODE_0001240	No Russia on stem
NODE_0001357	No Russia on stem
NODE_0001638	No Russia on stem
NODE_0001732	2020-04-03
NODE_0001736	2020-04-03
NODE_0001899	No Russia on stem
NODE_0002054	No Russia on stem
NODE_0002065	No Russia on stem
NODE_0002067	No Russia on stem
NODE_0002126	No Russia on stem
NODE_0002187	No Russia on stem
NODE_0002189	No Russia on stem
NODE_0002262	No Russia on stem
NODE_0002266	No Russia on stem
NODE_0002285	No Russia on stem
NODE_0002378	No Russia on stem
NODE_0002472	No Russia on stem
NODE_0002570	No Russia on stem
NODE_0004014	No Russia on stem
NODE_0004027	No Russia on stem
NODE_0004036	No Russia on stem
NODE_0004039	No Russia on stem
NODE_0004040	No Russia on stem
NODE_0004110	2020-03-13
NODE_0004228	2020-04-05
NODE_0005315	2020-03-13
NODE_0005319	2020-03-13
NODE_0005322	2020-03-13
NODE_0005342	2020-03-13
NODE_0005346	2020-03-13
NODE_0005467	No Russia on stem
NODE_0005552	2020-03-13
NODE_0005578	No Russia on stem
NODE_0005580	No Russia on stem
NODE_0005595	No Russia on stem
NODE_0005597	No Russia on stem
NODE_0005605	No Russia on stem
NODE_0005607	No Russia on stem
NODE_0005651	No Russia on stem
NODE_0005652	No Russia on stem
NODE_0005677	No Russia on stem
NODE_0005720	No Russia on stem
NODE_0005739	No Russia on stem
NODE_0005748	No Russia on stem
NODE_0005784	2020-03-13
NODE_0006004	No Russia on stem
NODE_0006093	No Russia on stem
NODE_0006316	No Russia on stem
NODE_0006318	No Russia on stem
NODE_0006326	No Russia on stem
NODE_0006361	No Russia on stem
NODE_0006471	2020-03-13
NODE_0006481	No Russia on stem
NODE_0006765	2020-03-20
NODE_0006767	2020-03-20
NODE_0006772	2020-03-20
NODE_0006783	No Russia on stem
NODE_0006831	No Russia on stem
NODE_0007536	No Russia on stem
NODE_0007623	No Russia on stem
NODE_0007722	No Russia on stem
NODE_0007725	No Russia on stem
NODE_0007743	No Russia on stem
NODE_0007952	No Russia on stem
NODE_0008060	No Russia on stem
NODE_0008070	No Russia on stem
NODE_0011280	No Russia on stem
NODE_0011344	No Russia on stem
NODE_0011347	No Russia on stem
NODE_0011351	No Russia on stem
NODE_0011360	No Russia on stem
NODE_0011363	2020-04-01
NODE_0011366	2020-04-01
NODE_0011370	2020-04-01
NODE_0011377	No Russia on stem
NODE_0011380	No Russia on stem
NODE_0011703	No Russia on stem
NODE_0011719	No Russia on stem
NODE_0011785	2020-03-13
NODE_0011792	2020-03-13
NODE_0011826	No Russia on stem
NODE_0011884	No Russia on stem
NODE_0011908	No Russia on stem
NODE_0011954	No Russia on stem
NODE_0011960	2020-03-13
NODE_0011972	No Russia on stem
NODE_0013923	No Russia on stem
NODE_0014428	2020-03-16
NODE_0014676	No Russia on stem
NODE_0014702	No Russia on stem
NODE_0014835	No Russia on stem
NODE_0014915	No Russia on stem
NODE_0014918	No Russia on stem
NODE_0014921	No Russia on stem
NODE_0015000	No Russia on stem
NODE_0015312	2020-04-05
NODE_0015323	2020-04-05
NODE_0015329	2020-04-05
NODE_0015339	2020-04-05
NODE_0015341	2020-04-05
NODE_0015345	2020-04-05
NODE_0015346	2020-04-05
NODE_0015359	2020-04-05
NODE_0015369	No Russia on stem
NODE_0015372	No Russia on stem
NODE_0015375	No Russia on stem
NODE_0015376	No Russia on stem
NODE_0015403	No Russia on stem
NODE_0015406	No Russia on stem
NODE_0015418	2020-07-08
